Feature,Importance
num__final_cumulative_gpa,0.29055373983785554
num__avg_grade_points,0.2324589487192682
num__gpa_z_score_interaction,0.14255676565234027
cat__province_Uva,0.0233119203638485
cat__province_North Central,0.02079221719805367
num__has_edX_MicroMasters_in_Artificial_Intelligence,0.01945077776973816
cat__province_Eastern,0.019145086622849465
cat__province_Central,0.018692325667393084
num__has_MATLAB_Certified_Associate,0.017791309517698646
num__has_Python_for_Scientific_Computing_Certification,0.017137788089448953
cat__pathway_Standard,0.013081999322706761
cat__domain_Software Engineering,0.013081999322705625
num__has_Microsoft_Certified:_Azure_Data_Scientist_Associate,0.01304878957942073
num__has_Coursera_IBM_AI_Engineering,0.012351449134059543
num__avg_performance_rating,0.011543575222042132
num__internship_quality_score,0.011543575222041488
num__has_Cloudera_Certified_Data_Analyst,0.010545132871710506
num__total_internship_duration,0.009481844005020019
num__num_internships,0.009481844005014164
num__has_internship,0.009481844005008271
num__has_Microsoft_Certified:_Azure_AI_Engineer_Associate,0.008903133477770962
num__has_Project_Management_Professional_(PMP),0.008659647890714014
cat__pathway_Artificial Intelligence,0.00843729714183029
cat__domain_Machine Learning,0.008437297141829036
num__has_Cisco_CCNA,0.008115265531093905
cat__province_North Western,0.006502415345734816
cat__pathway_Data Science,0.006181675496468221
cat__domain_Data Mining and Warehousing,0.006181675496468108
cat__gender_Male,0.005915053981744729
cat__gender_Female,0.005915053981741466
num__has_IBM_Data_Science_Professional_Certificate,0.004883731427685542
num__has_IBM_Watson_AI,0.004852275173079347
cat__province_Western,0.0014453003926482057
num__total_credits,3.724539296767606e-05
